电影名称,导演,演员,评分,收入,类型,时长,国家
本杰明·巴顿奇事,大卫·芬奇,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",8.8,暂无,"剧情,爱情,奇幻",166分钟,美国
美丽心灵,朗·霍华德,"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",8.8,暂无,"剧情,传记",135分钟,美国
搏击俱乐部,大卫·芬奇,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",8.8,暂无,"剧情,动作,悬疑,惊悚",139分钟,德国
超脱,托尼·凯耶,"艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩",8.7,暂无,剧情, 97分钟,美国
乱世佳人,乔治·库克,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",9.1,暂无,"剧情,爱情,历史,战争",238分钟,美国
海边的曼彻斯特,肯尼斯·罗纳根,"卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯",8.8,818,"剧情,家庭",136分钟,美国
海蒂和爷爷,阿兰·葛斯彭纳,"阿努克·斯特芬 ,布鲁诺·甘茨,昆林·艾格匹",9.5,2093,"剧情,家庭,冒险",111分钟,德国
爱在黎明破晓前,理查德·林克莱特,"伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特",8.7,暂无,爱情,101分钟,瑞士
天使爱美丽,让,"奥黛丽·塔图,马修·卡索维茨,吕菲斯",8.4,暂无,爱情,122分钟,德国
蝴蝶效应,埃里克·布雷斯,"约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特",8.7,暂无,"剧情,科幻,悬疑,惊悚",113分钟,加拿大
低俗小说,昆汀·塔伦蒂诺,"约翰·特拉沃尔塔,乌玛·瑟曼,塞缪尔·杰克逊",8.7,暂无,"剧情,喜剧,犯罪",154分钟,美国
罗马假日,威廉·惠勒,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",9.0,暂无,"剧情,喜剧,爱情",118分钟,美国
菊次郎的夏天,北野武,"北野武,关口雄介,岸本 加世子",8.8,906,"剧情,喜剧",120分钟,日本
飞屋环游记,彼特·道格特,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",8.9,7906,"剧情,喜剧,动画,冒险", 96分钟,美国
布达佩斯大饭店,韦斯·安德森,"拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南",8.7,暂无,"剧情,喜剧,冒险",100分钟,英国
复仇者联盟4：终局之战,乔·罗素,"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛",9.1,425013,"动作,冒险,奇幻",181分钟,美国
七宗罪,大卫·芬奇,"布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛",8.7,暂无,"剧情,悬疑,惊悚,犯罪",127分钟,美国
春光乍泄,王家卫,"张国荣,梁朝伟,张震",9.2,暂无,剧情, 96分钟,韩国
消失的爱人,大卫·芬奇,"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯",8.7,暂无,"剧情,悬疑,惊悚,犯罪",149分钟,美国
让子弹飞,姜文,"姜文,周润发,葛优",8.5,63675,"剧情,喜剧,动作,西部",132分钟,中国香港
爱在日落黄昏时,理查德·林克莱特,"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",8.7,暂无,"剧情,爱情", 80分钟,美国
穿条纹睡衣的男孩,马克·赫尔曼,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",9.0,暂无,"剧情,战争", 94分钟,美国
阿凡达,詹姆斯·卡梅隆,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",9.4,171507,"动作,科幻,冒险",162分钟,英国
心灵捕手,格斯·范,"罗宾·威廉姆斯,马特·达蒙,明妮·德里弗",8.4,暂无,剧情,126分钟,美国
疯狂动物城,拜伦·霍华德,"金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴",9.5,153190,"动画,动作,冒险",109分钟,美国
心灵奇旅,彼特·道格特,"杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德",9.2,37618,"动画,喜剧,冒险",101分钟,美国
辩护人,杨宇硕,"宋康昊,郭度沅,吴达洙",8.8,暂无,剧情,127分钟,韩国
大话西游之大圣娶亲,刘镇伟,"周星驰,朱茵,莫文蔚",8.8,18683,"喜剧,爱情,动作,奇幻",110分钟,中国大陆
控方证人,比利·怀德,"泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿",8.5,暂无,"剧情,悬疑,犯罪",116分钟,美国
素媛,李濬益,"李甄,薛耿求,严智苑",9.1,暂无,剧情,122分钟,韩国
天空之城,宫崎骏,"寺田农,鹫尾真知子,龟山助清",9.0,暂无,"动画,奇幻,冒险",125分钟,日本
无间道,刘伟强,"刘德华,梁朝伟,黄秋生",9.1,2,"剧情,犯罪",101分钟,中国香港
重庆森林,王家卫,"梁朝伟,王菲,金城武",8.6,暂无,"剧情,悬疑,爱情",102分钟,中国香港
剪刀手爱德华,蒂姆·波顿,"约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特",8.8,暂无,"剧情,爱情,奇幻",105分钟,美国
十二怒汉,西德尼·吕美特,"亨利·方达,李·科布,马丁·鲍尔萨姆",9.1,暂无,"剧情,悬疑",159分钟,美国
断背山,李安,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",8.9,暂无,"剧情,爱情,家庭",134分钟,加拿大
两杆大烟枪,盖·里奇,"杰森·弗莱明,德克斯特·弗莱彻,杰森•斯坦森",8.7,暂无,"惊悚,剧情,犯罪,喜剧",107分钟,英国
时空恋旅人,理查德·柯蒂斯,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",8.9,暂无,"喜剧,爱情,奇幻",123分钟,英国
釜山行,延尚昊,"孔刘,郑有美,马东锡",8.9,暂无,"动作,惊悚,灾难",118分钟,韩国
波西米亚狂想曲,布莱恩·辛格,"拉米·马雷克,本·哈迪,约瑟夫•梅泽罗",9.4,9907,"剧情,音乐,传记",134分钟,英国
钢琴家,罗曼·波兰斯基,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",8.9,暂无,"剧情,音乐,传记,战争",150分钟,波兰
大鱼,蒂姆·波顿,"伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格",8.6,暂无,奇幻,125分钟,美国
猫鼠游戏,史蒂文·斯皮尔伯格,"莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯",8.6,1200,"剧情,传记,犯罪",141分钟,加拿大
鬼子来了,姜文,"姜文,姜宏波,陈强",8.9,暂无,"剧情,战争",162分钟,中国大陆
网络谜踪,阿尼什·查甘蒂,"约翰·赵,米切尔·拉,黛博拉·梅辛",8.6,3049,"剧情,悬疑,犯罪",102分钟,美国
模仿游戏,莫滕·泰杜姆,"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪",9.3,5247,"剧情,战争,传记",114分钟,英国
奇迹男孩,斯蒂芬·卓博斯基,"雅各布·特瑞布雷,朱莉娅·罗伯茨,欧文·威尔逊",9.2,19151,"剧情,家庭",113分钟,美国
饮食男女,李安,"郎雄,吴倩莲,杨贵媚",8.8,暂无,"剧情,家庭",124分钟,美国
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",9.3,暂无,"剧情,动作,科幻,惊悚",152分钟,英国
二十二,郭柯,"毛银梅,何玉珍,李凤云",9.2,12471,纪录片, 99分钟,中国大陆
真爱至上,理查德·柯蒂斯,"休·格兰特,比尔·奈伊,连姆·尼森",8.6,暂无,"剧情,喜剧,爱情",135分钟,法国
致命魔术,克里斯托弗·诺兰,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",8.8,暂无,"剧情,悬疑,惊悚",130分钟,英国
